ESTIMATEDTOTALACRES,ORIGINSLOPE,ORIGINASPECT,ORIGINELEVATION,SPRUCE,MUNDRA,GRASS,BRUSH,HARD,LEAF,UNKNOWN,OTHER
0.1,0-25,N,1501-2500,1,0,0,0,0,0,0,0
0.1,0-25,NW,1501-2500,1,0,0,0,0,0,0,0
0.1,0-25,NE,1501-2500,1,0,0,0,0,0,0,0
0.1,0-25,N,0-500,0,0,0,0,0,0,1,0
0.1,0-25,SE,0-500,1,0,0,0,0,0,0,0
0.1,0-25,Flat,Unknown,0,0,1,0,0,0,0,0
0.1,0-25,E,0-500,0,0,0,0,0,0,0,1
58,Unknown,Unknown,Unknown,0,0,0,0,0,0,1,0
0.2,0-25,NW,1501-2500,1,0,0,0,0,0,0,0
0.1,Unknown,Unknown,Unknown,0,0,0,0,0,0,1,0
0.1,0-25,Flat,501-1500,0,0,0,0,1,0,0,0
143.5,0-25,Flat,0501-1500,0,0,0,1,0,0,0,0
0.1,0-25,E,501-1500,0,0,0,0,1,0,0,0
0.1,26-40,E,1501-2500,0,0,0,0,0,0,0,1
0.1,0-25,S,0-500,1,0,0,0,0,0,0,0
85,0-25,SW,2501-3500,0,0,0,0,1,0,0,0
0.1,0-25,E,501-1500,0,0,0,0,1,0,0,0
653,0-25,S,1501-2500,1,0,0,0,0,0,0,0
5,0-25,E,1501-2500,1,0,0,0,0,0,0,0
0.1,0-25,S,501-1500,0,0,0,0,1,0,0,0
0.8,0-25,SW,1501-2500,0,0,0,0,1,0,0,0
1403.3,0-25,East,2501-3500,1,0,0,0,0,0,0,0
0.5,0-25,NW,501-1500,0,0,0,0,1,0,0,0
3786.2,0-25,W,0-500,0,0,0,0,1,0,0,0
0.1,0-25,E,501-1500,0,0,1,0,0,0,0,0
1.3,0-25,NW,501-1500,0,0,0,0,1,0,0,0
0.1,0-25,SW,0-500,1,0,0,0,0,0,0,0
0.1,0-25,NE,2501-3500,0,0,0,0,1,0,0,0
2.7,Unknown,Flat,2501-3500,1,0,0,0,0,0,0,0
0.1,0-25,N,501-1500,1,0,0,0,0,0,0,0
0.1,0-25,S,1501-2500,0,0,1,0,0,0,0,0
41.6,0-25,NE,1501-2500,1,0,0,0,0,0,0,0
0.1,0-25,SW,1501-2500,0,0,1,0,0,0,0,0
0.5,0-25,E,1501-2500,0,0,0,0,1,0,0,0
